Cruise,Station Name,Date,Month,Parameter,Result,Units
WQAPR04,15,4/12/2004,APR,CHLA,5.2,ug/L
WQAPR04,F2,4/12/2004,APR,CHLA,3.6,ug/L
WQAPR04,H6,4/12/2004,APR,CHLA,2.3,ug/L
WQAPR04,E1,4/12/2004,APR,CHLA,1.7,ug/L
WQAPR04,H4,4/12/2004,APR,CHLA,0.4,ug/L
WQAPR04,B3,4/14/2004,APR,CHLA,10.2,ug/L
WQAPR04,A4,4/14/2004,APR,CHLA,24.3,ug/L
WQAPR04,C1,4/14/2004,APR,CHLA,7.5,ug/L
WQAPR04,C2,4/14/2004,APR,CHLA,5.1,ug/L
WQAPR04,D3,4/14/2004,APR,CHLA,4.9,ug/L
WQAPR04,09,4/14/2004,APR,CHLA,7,ug/L
WQAPR05,J2,4/5/2005,APR,CHLA,5.6,ug/L
WQAPR05,M3,4/5/2005,APR,CHLA,5.4,ug/L
WQAPR05,I2,4/5/2005,APR,CHLA,4.8,ug/L
WQAPR05,K2,4/5/2005,APR,CHLA,4.1,ug/L
WQAPR05,H2,4/5/2005,APR,CHLA,5,ug/L
WQAPR05,C2,4/6/2005,APR,CHLA,16.6,ug/L
WQAPR05,C1,4/6/2005,APR,CHLA,18,ug/L
WQAPR05,B3,4/6/2005,APR,CHLA,25.4,ug/L
WQAPR05,A4,4/6/2005,APR,CHLA,26,ug/L
WQAPR05,09,4/6/2005,APR,CHLA,8.2,ug/L
WQAPR05,D3,4/6/2005,APR,CHLA,14,ug/L
WQAPR05,15,4/8/2005,APR,CHLA,10.2,ug/L
WQAPR05,F2,4/8/2005,APR,CHLA,4,ug/L
WQAPR05,F3,4/8/2005,APR,CHLA,3.9,ug/L
WQAPR05,H4,4/8/2005,APR,CHLA,2.4,ug/L
WQAPR05,H6,4/8/2005,APR,CHLA,3,ug/L
WQAPR05,E1,4/8/2005,APR,CHLA,6.8,ug/L
WQAPR06,K2,4/11/2006,APR,CHLA,3.120218,ug/L
WQAPR06,J2,4/11/2006,APR,CHLA,3.602904,ug/L
WQAPR06,M3,4/11/2006,APR,CHLA,2.447906,ug/L
WQAPR06,I2,4/11/2006,APR,CHLA,1.999698,ug/L
WQAPR06,H4,4/12/2006,APR,CHLA,2.309996,ug/L
WQAPR06,H2,4/12/2006,APR,CHLA,4.016634,ug/L
WQAPR06,F3,4/12/2006,APR,CHLA,5.309543,ug/L
WQAPR06,F2,4/12/2006,APR,CHLA,8.653865,ug/L
WQAPR06,E1,4/12/2006,APR,CHLA,3.533949,ug/L
WQAPR06,15,4/12/2006,APR,CHLA,4.033873,ug/L
WQAPR06,H6,4/12/2006,APR,CHLA,3.51671,ug/L
WQAPR07,H6,4/2/2007,APR,CHLA,,ug/L
WQAPR07,K2,4/2/2007,APR,CHLA,,ug/L
WQAPR07,I2,4/2/2007,APR,CHLA,,ug/L
WQAPR07,J2,4/2/2007,APR,CHLA,,ug/L
WQAPR07,H4,4/2/2007,APR,CHLA,,ug/L
WQAPR07,M3,4/2/2007,APR,CHLA,,ug/L
WQAPR07,H2,4/2/2007,APR,CHLA,,ug/L
WQAPR07,D3,4/3/2007,APR,CHLA,5.415526,ug/L
WQAPR07,C2,4/3/2007,APR,CHLA,5.78969,ug/L
WQAPR07,C1,4/3/2007,APR,CHLA,4.903512,ug/L
WQAPR07,09,4/3/2007,APR,CHLA,5.65184,ug/L
WQAPR07,A4,4/3/2007,APR,CHLA,22.25289,ug/L
WQAPR07,B3,4/3/2007,APR,CHLA,11.16583,ug/L
WQAPR07,F3,4/4/2007,APR,CHLA,5.218597,ug/L
WQAPR07,E1,4/4/2007,APR,CHLA,4.647506,ug/L
WQAPR07,15,4/4/2007,APR,CHLA,6.14416,ug/L
WQAPR07,F2,4/4/2007,APR,CHLA,4.923205,ug/L
WQAPR08,I2,4/3/2008,APR,CHLA,3.8,ug/L
WQAPR08,H2,4/3/2008,APR,CHLA,2.6,ug/L
WQAPR08,H6,4/3/2008,APR,CHLA,5.3,ug/L
WQAPR08,J2,4/3/2008,APR,CHLA,1.6,ug/L
WQAPR08,K2,4/3/2008,APR,CHLA,2.2,ug/L
WQAPR08,M3,4/3/2008,APR,CHLA,1.5,ug/L
WQAPR08,H4,4/3/2008,APR,CHLA,2.5,ug/L
WQAPR08,D3,4/8/2008,APR,CHLA,7.6,ug/L
WQAPR08,09,4/8/2008,APR,CHLA,7.7,ug/L
WQAPR08,A4,4/8/2008,APR,CHLA,15.3,ug/L
WQAPR08,B3,4/8/2008,APR,CHLA,11.1,ug/L
WQAPR08,C1,4/8/2008,APR,CHLA,9.8,ug/L
WQAPR08,C2,4/8/2008,APR,CHLA,7.1,ug/L
WQAPR08,15,4/9/2008,APR,CHLA,7.9,ug/L
WQAPR08,E1,4/9/2008,APR,CHLA,6.8,ug/L
WQAPR08,F2,4/9/2008,APR,CHLA,5.6,ug/L
WQAPR08,F3,4/9/2008,APR,CHLA,5.1,ug/L
WQAPR09,H2,3/31/2009,APR,CHLA,1.2,ug/L
WQAPR09,H4,3/31/2009,APR,CHLA,0.3,ug/L
WQAPR09,H6,3/31/2009,APR,CHLA,0.4,ug/L
WQAPR09,I2,3/31/2009,APR,CHLA,1.3,ug/L
WQAPR09,J2,3/31/2009,APR,CHLA,2.9,ug/L
WQAPR09,K2,3/31/2009,APR,CHLA,3.5,ug/L
WQAPR09,M3,3/31/2009,APR,CHLA,2.1,ug/L
WQAPR09,A4,4/1/2009,APR,CHLA,9,ug/L
WQAPR09,09,4/1/2009,APR,CHLA,2.1,ug/L
WQAPR09,B3,4/1/2009,APR,CHLA,7.1,ug/L
WQAPR09,C1,4/1/2009,APR,CHLA,2.6,ug/L
WQAPR09,C2,4/1/2009,APR,CHLA,2.5,ug/L
WQAPR09,D3,4/1/2009,APR,CHLA,1.8,ug/L
WQAPR09,E1,4/2/2009,APR,CHLA,1.3,ug/L
WQAPR09,F2,4/2/2009,APR,CHLA,1,ug/L
WQAPR09,F3,4/2/2009,APR,CHLA,1.5,ug/L
WQAPR09,15,4/2/2009,APR,CHLA,1.7,ug/L
WQAPR10,B3,3/31/2010,APR,CHLA,12,ug/L
WQAPR10,A4,3/31/2010,APR,CHLA,14.2,ug/L
WQAPR10,C1,3/31/2010,APR,CHLA,9,ug/L
WQAPR10,C2,3/31/2010,APR,CHLA,6.5,ug/L
WQAPR10,D3,3/31/2010,APR,CHLA,5.5,ug/L
WQAPR10,09,3/31/2010,APR,CHLA,7.2,ug/L
WQAPR10,E1,4/1/2010,APR,CHLA,2.8,ug/L
WQAPR10,15,4/1/2010,APR,CHLA,7.3,ug/L
WQAPR10,F2,4/1/2010,APR,CHLA,3.1,ug/L
WQAPR10,H2,4/1/2010,APR,CHLA,2,ug/L
WQAPR10,H4,4/1/2010,APR,CHLA,3.1,ug/L
WQAPR10,H6,4/1/2010,APR,CHLA,2.2,ug/L
WQAPR10,F3,4/1/2010,APR,CHLA,3.4,ug/L
WQAPR10,I2,4/6/2010,APR,CHLA,2.1,ug/L
WQAPR10,K2,4/6/2010,APR,CHLA,2.2,ug/L
WQAPR10,J2,4/6/2010,APR,CHLA,2.8,ug/L
WQAPR10,M3,4/6/2010,APR,CHLA,1.6,ug/L
WQAPR11,15,4/8/2011,APR,CHLA,1.9,ug/L
WQAPR11,E1,4/8/2011,APR,CHLA,2.8,ug/L
WQAPR11,F2,4/8/2011,APR,CHLA,9.5,ug/L
WQAPR11,F3,4/8/2011,APR,CHLA,7.7,ug/L
WQAPR11,H6,4/12/2011,APR,CHLA,3.7,ug/L
WQAPR11,H2,4/12/2011,APR,CHLA,12.4,ug/L
WQAPR11,H4,4/12/2011,APR,CHLA,7.2,ug/L
WQAPR11,I2,4/12/2011,APR,CHLA,3.1,ug/L
WQAPR11,C2,4/14/2011,APR,CHLA,2.8,ug/L
WQAPR11,B3,4/14/2011,APR,CHLA,3.4,ug/L
WQAPR11,09,4/14/2011,APR,CHLA,4.5,ug/L
WQAPR11,C1,4/14/2011,APR,CHLA,2.4,ug/L
WQAPR11,A4,4/14/2011,APR,CHLA,4.8,ug/L
WQAPR11,D3,4/14/2011,APR,CHLA,2,ug/L
WQAPR12,H2,4/3/2012,APR,CHLA,,ug/L
WQAPR12,J2,4/3/2012,APR,CHLA,,ug/L
WQAPR12,K2,4/3/2012,APR,CHLA,,ug/L
WQAPR12,M3,4/3/2012,APR,CHLA,,ug/L
WQAPR12,I2,4/3/2012,APR,CHLA,,ug/L
WQAPR12,H6,4/4/2012,APR,CHLA,,ug/L
WQAPR12,C2,4/4/2012,APR,CHLA,,ug/L
WQAPR12,E1,4/4/2012,APR,CHLA,,ug/L
WQAPR12,F3,4/4/2012,APR,CHLA,,ug/L
WQAPR12,D3,4/4/2012,APR,CHLA,,ug/L
WQAPR12,F2,4/4/2012,APR,CHLA,,ug/L
WQAPR12,15,4/4/2012,APR,CHLA,,ug/L
WQAPR12,H4,4/4/2012,APR,CHLA,,ug/L
WQAPR12,C1,4/5/2012,APR,CHLA,,ug/L
WQAPR12,A4,4/5/2012,APR,CHLA,,ug/L
WQAPR12,09,4/5/2012,APR,CHLA,,ug/L
WQAPR12,B3,4/5/2012,APR,CHLA,,ug/L
WQAPR13,H4,4/1/2013,APR,CHLA,,ug/L
WQAPR13,M3,4/1/2013,APR,CHLA,,ug/L
WQAPR13,K2,4/1/2013,APR,CHLA,,ug/L
WQAPR13,J2,4/1/2013,APR,CHLA,,ug/L
WQAPR13,H6,4/1/2013,APR,CHLA,,ug/L
WQAPR13,H2,4/1/2013,APR,CHLA,,ug/L
WQAPR13,I2,4/1/2013,APR,CHLA,,ug/L
WQAPR13,A4,4/4/2013,APR,CHLA,,ug/L
WQAPR13,D3,4/4/2013,APR,CHLA,,ug/L
WQAPR13,B3,4/4/2013,APR,CHLA,,ug/L
WQAPR13,C1,4/4/2013,APR,CHLA,,ug/L
WQAPR13,C2,4/4/2013,APR,CHLA,,ug/L
WQAPR13,09,4/4/2013,APR,CHLA,,ug/L
WQAPR13,15,4/5/2013,APR,CHLA,,ug/L
WQAPR13,F3,4/5/2013,APR,CHLA,,ug/L
WQAPR13,F2,4/5/2013,APR,CHLA,,ug/L
WQAPR13,E1,4/5/2013,APR,CHLA,,ug/L
CHMAR14,C2,3/18/2014,APR,CHLA,1.9,ppb
CHMAR14,09,3/18/2014,APR,CHLA,2.4,ppb
WQAPR14,D3,4/2/2014,APR,CHLA,1.9,ppb
WQAPR14,09,4/2/2014,APR,CHLA,1.8,ppb
WQAPR14,A4,4/2/2014,APR,CHLA,11.2,ppb
WQAPR14,B3,4/2/2014,APR,CHLA,7.3,ppb
WQAPR14,C1,4/2/2014,APR,CHLA,2.9,ppb
WQAPR14,C2,4/2/2014,APR,CHLA,2,ppb
WQAPR14,15,4/3/2014,APR,CHLA,1,ppb
WQAPR14,F3,4/3/2014,APR,CHLA,1,ppb
WQAPR14,E1,4/3/2014,APR,CHLA,1.6,ppb
WQAPR14,F2,4/3/2014,APR,CHLA,1.6,ppb
WQAPR14,H6,4/3/2014,APR,CHLA,0.9,ppb
WQAPR14,H4,4/3/2014,APR,CHLA,0.3,ppb
WQAPR14,M3,4/7/2014,APR,CHLA,1.4,ppb
WQAPR14,H2,4/7/2014,APR,CHLA,1.3,ppb
WQAPR14,I2,4/7/2014,APR,CHLA,0.8,ppb
WQAPR14,K2,4/7/2014,APR,CHLA,2,ppb
WQAPR14,J2,4/7/2014,APR,CHLA,1.1,ppb
WQAPR15,15,3/31/2015,APR,CHLA,1.2,ppb
WQAPR15,H6,3/31/2015,APR,CHLA,0.6,ppb
WQAPR15,F3,3/31/2015,APR,CHLA,1.2,ppb
WQAPR15,F2,3/31/2015,APR,CHLA,1.7,ppb
WQAPR15,E1,3/31/2015,APR,CHLA,0.4,ppb
WQAPR15,H4,3/31/2015,APR,CHLA,0.8,ppb
WQAPR15,D3,4/1/2015,APR,CHLA,1.7,ppb
WQAPR15,C2,4/1/2015,APR,CHLA,1.7,ppb
WQAPR15,09,4/1/2015,APR,CHLA,3,ppb
WQAPR15,A4,4/1/2015,APR,CHLA,8.4,ppb
WQAPR15,C1,4/1/2015,APR,CHLA,1.5,ppb
WQAPR15,B3,4/1/2015,APR,CHLA,5.1,ppb
WQAPR15,H2,4/2/2015,APR,CHLA,1.7,ppb
WQAPR15,J2,4/2/2015,APR,CHLA,1.3,ppb
WQAPR15,K2,4/2/2015,APR,CHLA,1,ppb
WQAPR15,M3,4/2/2015,APR,CHLA,1.1,ppb
WQAPR15,I2,4/2/2015,APR,CHLA,0.6,ppb
WQAPR16,C1,4/4/2016,APR,CHLA,4.9,ppb
WQAPR16,B3,4/4/2016,APR,CHLA,3.4,ppb
WQAPR16,A4,4/4/2016,APR,CHLA,2.8,ppb
WQAPR16,C2,4/4/2016,APR,CHLA,2,ppb
WQAPR16,09,4/4/2016,APR,CHLA,0.9,ppb
WQAPR16,15,4/6/2016,APR,CHLA,0.8,ppb
WQAPR16,F2,4/6/2016,APR,CHLA,1.7,ppb
WQAPR16,F3,4/6/2016,APR,CHLA,1.1,ppb
WQAPR16,H6,4/6/2016,APR,CHLA,1.1,ppb
WQAPR16,D3,4/6/2016,APR,CHLA,1.5,ppb
WQAPR16,H4,4/6/2016,APR,CHLA,0.7,ppb
WQAPR16,E1,4/6/2016,APR,CHLA,0.7,ppb
WQAPR16,I2,4/13/2016,APR,CHLA,1.2,ppb
WQAPR16,M3,4/13/2016,APR,CHLA,1,ppb
WQAPR16,K2,4/13/2016,APR,CHLA,2.8,ppb
WQAPR16,H2,4/13/2016,APR,CHLA,1.7,ppb
WQAPR16,J2,4/13/2016,APR,CHLA,1.3,ppb
WQAPR17,I2,4/3/2017,APR,CHLA,1.4,ppb
WQAPR17,H2,4/3/2017,APR,CHLA,4.2,ppb
WQAPR17,M3,4/3/2017,APR,CHLA,1.4,ppb
WQAPR17,J2,4/3/2017,APR,CHLA,3.5,ppb
WQAPR17,K2,4/3/2017,APR,CHLA,1.1,ppb
WQAPR17,C1,4/4/2017,APR,CHLA,7,ppb
WQAPR17,C2,4/4/2017,APR,CHLA,3.6,ppb
WQAPR17,B3,4/4/2017,APR,CHLA,9.7,ppb
WQAPR17,09,4/4/2017,APR,CHLA,3.4,ppb
WQAPR17,A4,4/4/2017,APR,CHLA,20.7,ppb
WQAPR17,15,4/5/2017,APR,CHLA,3,ppb
WQAPR17,H4,4/5/2017,APR,CHLA,0.8,ppb
WQAPR17,F3,4/5/2017,APR,CHLA,1.5,ppb
WQAPR17,F2,4/5/2017,APR,CHLA,3.7,ppb
WQAPR17,E1,4/5/2017,APR,CHLA,1.8,ppb
WQAPR17,D3,4/5/2017,APR,CHLA,2.6,ppb
WQAPR17,H6,4/5/2017,APR,CHLA,1.7,ppb
WQMAR18,E1,3/19/2018,APR,CHLA,2.5,ppb
WQMAR18,D3,3/19/2018,APR,CHLA,6,ppb
WQMAR18,C2,3/19/2018,APR,CHLA,6.7,ppb
WQMAR18,C1,3/19/2018,APR,CHLA,10,ppb
WQMAR18,09,3/19/2018,APR,CHLA,3,ppb
WQMAR18,A4,3/19/2018,APR,CHLA,16.6,ppb
WQMAR18,B3,3/19/2018,APR,CHLA,7.7,ppb
WQAPR18,I2,4/9/2018,APR,CHLA,1,ppb
WQAPR18,H2,4/9/2018,APR,CHLA,4.6,ppb
WQAPR18,H6,4/9/2018,APR,CHLA,1.3,ppb
WQAPR18,J2,4/9/2018,APR,CHLA,2,ppb
WQAPR18,K2,4/9/2018,APR,CHLA,1.3,ppb
WQAPR18,M3,4/9/2018,APR,CHLA,1.1,ppb
WQAPR18,H4,4/9/2018,APR,CHLA,3.1,ppb
WQAPR18,F3,4/10/2018,APR,CHLA,2.7,ppb
WQAPR18,F2,4/10/2018,APR,CHLA,1.7,ppb
WQAPR18,E1,4/10/2018,APR,CHLA,2.1,ppb
WQAPR18,D3,4/10/2018,APR,CHLA,2.5,ppb
WQAPR18,C2,4/10/2018,APR,CHLA,1.7,ppb
WQAPR18,B3,4/10/2018,APR,CHLA,7.6,ppb
WQAPR18,15,4/10/2018,APR,CHLA,1.7,ppb
WQAPR18,09,4/10/2018,APR,CHLA,3.6,ppb
WQAPR18,C1,4/10/2018,APR,CHLA,2.2,ppb
WQAPR18,A4,4/10/2018,APR,CHLA,22.4,ppb
WQAPR19,M3,4/2/2019,APR,CHLA,0.5,ppb
WQAPR19,H2,4/2/2019,APR,CHLA,0.7,ppb
WQAPR19,K2,4/2/2019,APR,CHLA,0.6,ppb
WQAPR19,A4,4/3/2019,APR,CHLA,2.7,ppb
WQAPR19,B3,4/3/2019,APR,CHLA,2.4,ppb
WQAPR19,C1,4/3/2019,APR,CHLA,2,ppb
WQAPR19,C2,4/3/2019,APR,CHLA,1.5,ppb
WQAPR19,D3,4/3/2019,APR,CHLA,1.3,ppb
WQAPR19,E1,4/3/2019,APR,CHLA,0.8,ppb
WQAPR19,09,4/3/2019,APR,CHLA,1.1,ppb
WQAPR19,H6,4/4/2019,APR,CHLA,0.7,ppb
WQAPR19,15,4/4/2019,APR,CHLA,1.4,ppb
WQAPR19,I2,4/4/2019,APR,CHLA,1.1,ppb
WQAPR19,H4,4/4/2019,APR,CHLA,0.7,ppb
WQAPR19,F3,4/4/2019,APR,CHLA,0.8,ppb
WQAPR19,F2,4/4/2019,APR,CHLA,0.7,ppb
WQAPR19,J2,4/4/2019,APR,CHLA,0.8,ppb
WQAPR21,I2,4/6/2021,APR,CHLA,0.9,ppb
WQAPR21,H2,4/6/2021,APR,CHLA,1.8,ppb
WQAPR21,H4,4/6/2021,APR,CHLA,1,ppb
WQAPR21,M3,4/6/2021,APR,CHLA,0.9,ppb
WQAPR21,K2,4/6/2021,APR,CHLA,0.8,ppb
WQAPR21,J2,4/6/2021,APR,CHLA,1.2,ppb
WQAPR21,H6,4/6/2021,APR,CHLA,1.6,ppb
WQAPR21,09,4/7/2021,APR,CHLA,1,ppb
WQAPR21,B3,4/7/2021,APR,CHLA,1.5,ppb
WQAPR21,C1,4/7/2021,APR,CHLA,11.1,ppb
WQAPR21,C2,4/7/2021,APR,CHLA,1.8,ppb
WQAPR21,D3,4/7/2021,APR,CHLA,1.6,ppb
WQAPR21,A4,4/7/2021,APR,CHLA,23.7,ppb
WQAPR21,E1,4/8/2021,APR,CHLA,1.7,ppb
WQAPR21,F2,4/8/2021,APR,CHLA,1.6,ppb
WQAPR21,F3,4/8/2021,APR,CHLA,1.7,ppb
WQAPR21,15,4/8/2021,APR,CHLA,1.8,ppb
WQAPR22,H2,4/4/2022,APR,CHLA,0.7,ppb
WQAPR22,J2,4/4/2022,APR,CHLA,1.1,ppb
WQAPR22,m3,4/4/2022,APR,CHLA,0.9,ppb
WQAPR22,K2,4/4/2022,APR,CHLA,1.1,ppb
WQAPR22,E1,4/5/2022,APR,CHLA,1.4,ppb
WQAPR22,D3,4/5/2022,APR,CHLA,0.5,ppb
WQAPR22,C2,4/5/2022,APR,CHLA,0.7,ppb
WQAPR22,C1,4/5/2022,APR,CHLA,1.3,ppb
WQAPR22,B3,4/5/2022,APR,CHLA,1.2,ppb
WQAPR22,A4,4/5/2022,APR,CHLA,2.2,ppb
WQAPR22,09,4/5/2022,APR,CHLA,1,ppb
WQAPR22,I2,4/8/2022,APR,CHLA,1.8,ppb
WQAPR22,F2,4/8/2022,APR,CHLA,1,ppb
WQAPR22,H4,4/8/2022,APR,CHLA,2.3,ppb
WQAPR22,F3,4/8/2022,APR,CHLA,1,ppb
WQAPR22,15,4/8/2022,APR,CHLA,0.9,ppb
WQAPR22,H6,4/8/2022,APR,CHLA,1.1,ppb
WQAPR23,M3,4/17/2023,APR,CHLA,1.8,ppb
WQAPR23,K2,4/17/2023,APR,CHLA,1,ppb
WQAPR23,J2,4/17/2023,APR,CHLA,1.5,ppb
WQAPR23,I2,4/17/2023,APR,CHLA,1.7,ppb
WQAPR23,H2,4/17/2023,APR,CHLA,2,ppb
WQAPR23,C2,4/18/2023,APR,CHLA,2.9,ppb
WQAPR23,F2,4/18/2023,APR,CHLA,1.8,ppb
WQAPR23,F3,4/18/2023,APR,CHLA,1.5,ppb
WQAPR23,D3,4/18/2023,APR,CHLA,2.8,ppb
WQAPR23,C1,4/18/2023,APR,CHLA,2.6,ppb
WQAPR23,09,4/18/2023,APR,CHLA,1.7,ppb
WQAPR23,15,4/18/2023,APR,CHLA,2.7,ppb
WQAPR23,B3,4/18/2023,APR,CHLA,3.5,ppb
WQAPR23,A4,4/18/2023,APR,CHLA,6.1,ppb
WQAPR23,E1,4/18/2023,APR,CHLA,1.4,ppb
WQAPR24,H6,4/1/2024,APR,CHLA,1.7,ppb
WQAPR24,H4,4/1/2024,APR,CHLA,2.1,ppb
WQAPR24,M3,4/1/2024,APR,CHLA,3.2,ppb
WQAPR24,J2,4/1/2024,APR,CHLA,5.7,ppb
WQAPR24,K2,4/1/2024,APR,CHLA,4.1,ppb
WQAPR24,H2,4/1/2024,APR,CHLA,1.4,ppb
WQAPR24,I2,4/1/2024,APR,CHLA,2,ppb
WQAPR24,B3,4/8/2024,APR,CHLA,8.1,ppb
WQAPR24,A4,4/8/2024,APR,CHLA,17.8,ppb
WQAPR24,C1,4/8/2024,APR,CHLA,4.6,ppb
WQAPR24,C2,4/8/2024,APR,CHLA,3.2,ppb
WQAPR24,D3,4/8/2024,APR,CHLA,2.7,ppb
WQAPR24,E1,4/8/2024,APR,CHLA,2.3,ppb
WQAPR24,09,4/8/2024,APR,CHLA,2.8,ppb
WQAPR24,F2,4/9/2024,APR,CHLA,3.2,ppb
WQAPR24,15,4/9/2024,APR,CHLA,2,ppb
WQAPR24,F3,4/9/2024,APR,CHLA,2.3,ppb
HYJUL03,I2,7/24/2003,AUG,CHLA,5.3,ug/L
HYJUL03,19,7/25/2003,AUG,CHLA,7,ug/L
HYJUL03,B3,7/28/2003,AUG,CHLA,18.3,ug/L
WQAUG03,I2,8/4/2003,AUG,CHLA,4.6,ug/L
WQAUG03,H2,8/4/2003,AUG,CHLA,3.5,ug/L
WQAUG03,J2,8/4/2003,AUG,CHLA,3.6,ug/L
WQAUG03,K2,8/4/2003,AUG,CHLA,4.8,ug/L
WQAUG03,M3,8/4/2003,AUG,CHLA,1.7,ug/L
WQAUG03,15,8/5/2003,AUG,CHLA,6.7,ug/L
WQAUG03,H6,8/5/2003,AUG,CHLA,6.8,ug/L
WQAUG03,H4,8/5/2003,AUG,CHLA,4.1,ug/L
WQAUG03,F3,8/5/2003,AUG,CHLA,10.2,ug/L
WQAUG03,F2,8/5/2003,AUG,CHLA,4.6,ug/L
WQAUG03,A4,8/6/2003,AUG,CHLA,18.4,ug/L
WQAUG03,B3,8/6/2003,AUG,CHLA,30.5,ug/L
WQAUG03,C1,8/6/2003,AUG,CHLA,11.3,ug/L
WQAUG03,C2,8/6/2003,AUG,CHLA,8.4,ug/L
WQAUG03,E1,8/8/2003,AUG,CHLA,12.9,ug/L
WQAUG03,09,8/8/2003,AUG,CHLA,7.8,ug/L
WQAUG03,D3,8/8/2003,AUG,CHLA,8.9,ug/L
HYJUL04,A4,7/20/2004,AUG,CHLA,35.6202,ug/L
HYJUL04,15,7/21/2004,AUG,CHLA,7.729275,ug/L
WQAUG04,I2,8/2/2004,AUG,CHLA,2.5806,ug/L
WQAUG04,H6,8/2/2004,AUG,CHLA,3.9491,ug/L
WQAUG04,J2,8/2/2004,AUG,CHLA,2.52195,ug/L
WQAUG04,K2,8/2/2004,AUG,CHLA,2.5806,ug/L
WQAUG04,M3,8/2/2004,AUG,CHLA,1.9159,ug/L
WQAUG04,H2,8/2/2004,AUG,CHLA,6.00185,ug/L
WQAUG04,09,8/3/2004,AUG,CHLA,6.2951,ug/L
WQAUG04,B3,8/3/2004,AUG,CHLA,26.80305,ug/L
WQAUG04,C2,8/3/2004,AUG,CHLA,11.90595,ug/L
WQAUG04,D3,8/3/2004,AUG,CHLA,6.4515,ug/L
WQAUG04,A4,8/3/2004,AUG,CHLA,23.98785,ug/L
WQAUG04,C1,8/3/2004,AUG,CHLA,17.88825,ug/L
WQAUG04,15,8/6/2004,AUG,CHLA,5.84545,ug/L
WQAUG04,E1,8/6/2004,AUG,CHLA,8.0937,ug/L
WQAUG04,F2,8/6/2004,AUG,CHLA,8.97345,ug/L
WQAUG04,F3,8/6/2004,AUG,CHLA,12.8639,ug/L
WQAUG04,H4,8/6/2004,AUG,CHLA,4.75065,ug/L
HYAUG04,27,8/19/2004,AUG,CHLA,11.8,ug/L
HYAUG04,H6,8/19/2004,AUG,CHLA,2.8,ug/L
HYJUL05,C2,7/21/2005,AUG,CHLA,35.66978,ug/L
HYJUL05,C1,7/21/2005,AUG,CHLA,6.585567,ug/L
HYJUL05,B3,7/21/2005,AUG,CHLA,15.32552,ug/L
HYJUL05,09,7/21/2005,AUG,CHLA,10.08644,ug/L
HYJUL05,D3,7/21/2005,AUG,CHLA,10.06196,ug/L
HYJUL05,A4,7/21/2005,AUG,CHLA,23.11069,ug/L
