,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2 ,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2,A4,B3,C1,D3,E1,F2,H4,I2,J1,K2,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2
Haptophyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17600,0,0,0,0,0,0,0,0,1804,704,0,52800,30800,41052,17600,0,0,0,0,0,0,1742.4,0,13200,8800,1452,1452,1452,1452,2904,0,3484.8,13200,0,0,2904,0,0,0,0,0,0,0,13200,0,0,17952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euglenophyte,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,2904,0,0,2904,1452,0,0,0,0,0,0,0,0,0,1452,0,0,0,13200,0,0,0,1452,0,0,0,0,0,0,0,21120,22000,0,2904,0,0,0,0,0,0,31680,0,0,1452,0,0,0,352,0,0,110880,5852,0,0,0,44000,0,704,0,0,26400,22000,2904,0,0,0,1452,0,0,0,0,0,0,0,0,0,0,0,0,0
Small Flagellates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,13200,0,13200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13200,0,0,0,22000,2904,0,0,216480,66000,167200,0,83600,17600,0,0,0,0,47520,105600,136400,83600,180400,136400,171600,110000,66000,39600,42240,48400,83600,110000,39600,35200,83600,110000,22000,0,58080,66000,79200,0,35200,48400,22000,26400,13200,0,0,0,17600,0,17600,0,17600,0,17600,0
Total,2050972,1362776.8,1277628,748704,346808,454344,482372,185064,226028,334840,9890980,10050172,4802028,2385020,2604624,696960,1653300,563464,647504,1379268,3697892,1117908,1107040,878196,722128,1419264,297880,379016,246136,168960,5673624,2893616,1133616,815716,793364,520608,937112,593912,895268,572396,14616729.6,12569172,11941292,5520416,3750516,2488842.4,3837416,119328,71720,114268,6969969.6,4033480,5078876,2015024,2254076,591096,125312,418352,655732,933680,6256641.6,2458412,3160872,3059716,1347984,1244276,869968,997348,607420,342408,3067574.4,1183160,961312,2661912,531124,1226104,634964,377476,697092,83732,5380953.6,4989160,7700836,1273932,392524,678128,658680,592592,669416,125796,143880,142648,205524,58520,198176,43912,209880,232936,95744,151536
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species ,January ,February ,March ,April,May ,June,July ,August,September,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom ,698640.8,3421008.8,955715.2,1416776.24,5412968,1902204.48,1475195.92,192552.8,1287347.6,96175.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinoflagellate ,29758.08,32014.4,29352.4,15889.28,42244.4,193131.84,303538.4,377257.76,226353.6,21070.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chlorophyte ,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prasinophyte,0,470.8,35.2,0,580.8,103144.8,79402.4,210408,357720,8360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasphidophyte,52.8,70.4,0,580.8,28340.4,1645.6,10168.4,145.2,2678.72,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sillicoflagellate ,1465.2,1320,0,0,35.2,8390.8,70.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercozoan,145.2,0,35.2,0,290.4,319.44,0,440,70.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptophyte ,7185.2,9380.8,11796.4,43758.88,9816.4,20116.8,50212.8,267603.6,320553.2,15420.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ochrophyte,9688.8,3066.8,2816,2692.8,4488,4690.4,1610.4,18471.2,8239.44,174.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haptophyte,0,0,290.4,1760,250.8,14225.2,3245.44,1958.88,3115.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euglenophyte,17.6,0,726,1465.2,145.2,4602.4,3348.4,16143.6,5275.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Flagellates,0,0,2675.2,0,3810.4,55088,107712,57464,34848,7040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,746953.68,3467332,1003442,1482923.2,5502970,2307559.76,2034504.56,1142445.04,2246201.76,148275.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species ,January ,February ,March ,April,May ,June,July ,August,September,October,,,Species ,January ,February ,March ,April,May ,June,July ,August,September,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom ,0.935320112,0.986640103,0.952436912,0.955394211,0.983644832,0.824335956,0.72508853,0.168544475,0.57312198,0.648624588,,,Diatom ,0.935320112,0.986640103,0.952436912,0.955394211,0.983644832,0.824335956,0.72508853,0.168544475,0.57312198,0.648624588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinoflagellate ,0.039839258,0.009233151,0.029251716,0.010714837,0.007676655,0.083695271,0.149195242,0.330219614,0.100771713,0.142105107,,,Dinoflagellate ,0.039839258,0.009233151,0.029251716,0.010714837,0.007676655,0.083695271,0.149195242,0.330219614,0.100771713,0.142105107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chlorophyte ,0,0,0,0,0,0,0,0,0,0,,,Chlorophyte ,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prasinophyte,0,0.000135782,3.50793E-05,0,0.000105543,0.044698647,0.03902788,0.184173411,0.159255507,0.056381495,,,Prasinophyte,0,0.000135782,3.50793E-05,0,0.000105543,0.044698647,0.03902788,0.184173411,0.159255507,0.056381495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasphidophyte,7.06871E-05,2.03038E-05,0,0.000391659,0.005150019,0.000713134,0.004997974,0.000127096,0.001192555,0.000237396,,,Rasphidophyte,7.06871E-05,2.03038E-05,0,0.000391659,0.005150019,0.000713134,0.004997974,0.000127096,0.001192555,0.000237396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sillicoflagellate ,0.001961567,0.000380696,0,0,6.39655E-06,0.003636222,3.4603E-05,0,0,0,,,Sillicoflagellate ,0.001961567,0.000380696,0,0,6.39655E-06,0.003636222,3.4603E-05,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercozoan,0.00019439,0,3.50793E-05,0,5.27715E-05,0.000138432,0,0.000385139,3.13418E-05,0,,,Cercozoan,0.00019439,0,3.50793E-05,0,5.27715E-05,0.000138432,0,0.000385139,3.13418E-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptophyte ,0.009619338,0.002705481,0.011755936,0.029508527,0.001783837,0.008717781,0.024680603,0.234237614,0.142708997,0.103997151,,,Cryptophyte ,0.009619338,0.002705481,0.011755936,0.029508527,0.001783837,0.008717781,0.024680603,0.234237614,0.142708997,0.103997151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ochrophyte,0.012971085,0.000884484,0.002806341,0.001815873,0.00081556,0.002032623,0.000791544,0.01616813,0.003668166,0.001175109,,,Ochrophyte,0.012971085,0.000884484,0.002806341,0.001815873,0.00081556,0.002032623,0.000791544,0.01616813,0.003668166,0.001175109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haptophyte,0,0,0.000289404,0.001186845,4.55754E-05,0.006164607,0.001595199,0.001714638,0.001386875,0,,,Haptophyte,0,0,0.000289404,0.001186845,4.55754E-05,0.006164607,0.001595199,0.001714638,0.001386875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euglenophyte,2.35624E-05,0,0.00072351,0.000988048,2.63858E-05,0.001994488,0.001645806,0.014130745,0.002348676,0,,,Euglenophyte,2.35624E-05,0,0.00072351,0.000988048,2.63858E-05,0.001994488,0.001645806,0.014130745,0.002348676,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Flagellates,0,0,0.002666024,0,0.000692426,0.023872838,0.052942619,0.050299137,0.01551419,0.047479154,,,Small Flagellates,0,0,0.002666024,0,0.000692426,0.023872838,0.052942619,0.050299137,0.01551419,0.047479154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
